Period (s),CommandedPosition (mm),ActualPosition (mm)
0.000000,0.000355,-0.000385
0.000614,0.000660,-0.000140
0.001229,0.000885,0.000135
0.001843,0.000995,0.000410
0.002458,0.000980,0.000635
0.003072,0.000845,0.000775
0.003686,0.000600,0.000815
0.004301,0.000280,0.000755
0.004915,-0.000075,0.000590
0.005530,-0.000415,0.000360
0.006144,-0.000710,0.000085
0.006758,-0.000910,-0.000185
0.007373,-0.000995,-0.000450
0.007987,-0.000950,-0.000645
0.008602,-0.000790,-0.000775
0.009216,-0.000525,-0.000790
0.009830,-0.000195,-0.000695
0.010445,0.000160,-0.000530
0.011059,0.000500,-0.000310
0.011674,0.000770,-0.000055
0.012288,0.000950,0.000220
0.012902,0.001005,0.000480
0.013517,0.000935,0.000685
0.014131,0.000745,0.000780
0.014746,0.000465,0.000790
0.015360,0.000125,0.000670
0.015974,-0.000230,0.000480
0.016589,-0.000555,0.000235
0.017203,-0.000810,-0.000055
0.017818,-0.000960,-0.000315
0.018432,-0.000990,-0.000545
0.019046,-0.000890,-0.000715
0.019661,-0.000680,-0.000785
0.020275,-0.000385,-0.000745
0.020890,-0.000035,-0.000610
0.021504,0.000320,-0.000410
0.022118,0.000630,-0.000165
0.022733,0.000865,0.000120
0.023347,0.000990,0.000410
0.023962,0.000990,0.000645
0.024576,0.000865,0.000805
0.025190,0.000630,0.000860
0.025805,0.000320,0.000815
0.026419,-0.000035,0.000655
0.027034,-0.000385,0.000425
0.027648,-0.000680,0.000155
0.028262,-0.000890,-0.000135
0.028877,-0.000990,-0.000400
0.029491,-0.000960,-0.000615
0.030106,-0.000810,-0.000745
0.030720,-0.000555,-0.000780
0.031334,-0.000230,-0.000695
0.031949,0.000125,-0.000530
0.032563,0.000465,-0.000305
0.033178,0.000745,-0.000050
0.033792,0.000935,0.000230
0.034406,0.001005,0.000505
0.035021,0.000950,0.000705
0.035635,0.000770,0.000815
0.036250,0.000500,0.000830
0.036864,0.000160,0.000710
0.037478,-0.000195,0.000515
0.038093,-0.000525,0.000270
0.038707,-0.000790,-0.000020
0.039322,-0.000950,-0.000295
0.039936,-0.000995,-0.000535
0.040550,-0.000910,-0.000730
0.041165,-0.000710,-0.000810
0.041779,-0.000415,-0.000785
0.042394,-0.000075,-0.000660
0.043008,0.000280,-0.000465
0.043622,0.000600,-0.000215
0.044237,0.000845,0.000055
0.044851,0.000980,0.000350
0.045466,0.000995,0.000590
0.046080,0.000885,0.000765
0.046694,0.000660,0.000835
0.047309,0.000355,0.000785
0.047923,0.000005,0.000640
0.048538,-0.000350,0.000405
0.049152,-0.000655,0.000145
0.049766,-0.000875,-0.000150
0.050381,-0.000985,-0.000410
0.050995,-0.000970,-0.000635
0.051610,-0.000830,-0.000790
0.052224,-0.000585,-0.000815
0.052838,-0.000265,-0.000745
0.053453,0.000085,-0.000580
0.054067,0.000430,-0.000360
0.054682,0.000720,-0.000100
0.055296,0.000920,0.000190
0.055910,0.001005,0.000465
0.056525,0.000960,0.000685
0.057139,0.000795,0.000810
0.057754,0.000530,0.000845
0.058368,0.000200,0.000745
0.058982,-0.000155,0.000550
0.059597,-0.000490,0.000310
0.060211,-0.000765,0.000020
0.060826,-0.000940,-0.000265
0.061440,-0.000995,-0.000530
0.062054,-0.000925,-0.000730
0.062669,-0.000735,-0.000835
0.063283,-0.000450,-0.000835
0.063898,-0.000110,-0.000720
0.064512,0.000245,-0.000535
0.065126,0.000570,-0.000305
0.065741,0.000825,-0.000030
0.066355,0.000975,0.000255
0.066970,0.001000,0.000515
0.067584,0.000900,0.000685
0.068198,0.000685,0.000770
0.068813,0.000390,0.000755
0.069427,0.000040,0.000600
0.070042,-0.000310,0.000390
0.070656,-0.000625,0.000125
0.071270,-0.000855,-0.000160
0.071885,-0.000980,-0.000425
0.072499,-0.000980,-0.000650
0.073114,-0.000850,-0.000815
0.073728,-0.000615,-0.000865
0.074342,-0.000305,-0.000805
0.074957,0.000050,-0.000645
