Period (s),CommandedVelocity (mm/s),PositionError (mm),CommandedPosition (mm),CommandedAcceleration (mm/s2)
0.000000,0.000031,0.000005,11.001895,1.251465
0.000512,0.003964,0.000005,11.001895,14.057150
0.001024,0.014450,0.000010,11.001900,26.862836
0.001536,0.031489,0.000005,11.001910,39.668521
0.002048,0.055082,0.000010,11.001935,52.474206
0.002560,0.085229,0.000020,11.001970,65.279892
0.003072,0.121929,0.000045,11.002020,78.056473
0.003584,0.165182,0.000100,11.002095,90.862159
0.004096,0.214989,0.000150,11.002190,103.667844
0.004608,0.271352,0.000220,11.002315,116.473529
0.005120,0.334266,0.000275,11.002470,129.279215
0.005632,0.403734,0.000325,11.002660,142.055796
0.006144,0.479756,0.000370,11.002885,154.861482
0.006656,0.562331,0.000415,11.003150,167.667167
0.007168,0.651459,0.000445,11.003465,180.472853
0.007680,0.747143,0.000475,11.003820,193.278538
0.008192,0.848560,0.000500,11.004230,199.652277
0.008704,0.950795,0.000500,11.004690,199.652277
0.009216,1.053032,0.000485,11.005200,199.652277
0.009728,1.155268,0.000465,11.005770,199.652277
0.010240,1.257505,0.000435,11.006385,199.652277
0.010752,1.359740,0.000415,11.007055,199.652277
0.011264,1.461977,0.000410,11.007780,199.652277
0.011776,1.564212,0.000375,11.008550,199.652277
0.012288,1.666449,0.000340,11.009380,199.652277
0.012800,1.768684,0.000310,11.010260,199.652277
0.013312,1.870921,0.000285,11.011190,199.652277
0.013824,1.973157,0.000260,11.012175,199.652277
0.014336,2.075393,0.000240,11.013210,199.652277
0.014848,2.177630,0.000245,11.014300,199.652277
0.015360,2.279866,0.000225,11.015440,199.652277
0.015872,2.382103,0.000240,11.016635,199.652277
0.016384,2.484338,0.000250,11.017880,199.652277
0.016896,2.586575,0.000235,11.019180,199.652277
0.017408,2.688810,0.000215,11.020530,199.652277
0.017920,2.791047,0.000195,11.021930,199.652277
0.018432,2.893282,0.000205,11.023385,199.652277
0.018944,2.995519,0.000200,11.024895,199.652277
0.019456,3.097755,0.000200,11.026455,199.652277
0.019968,3.199992,0.000185,11.028065,199.652277
0.020480,3.302227,0.000180,11.029730,199.652277
0.020992,3.404464,0.000160,11.031450,199.652277
0.021504,3.506699,0.000150,11.033215,199.652277
0.022016,3.608936,0.000145,11.035040,199.652277
0.022528,3.711171,0.000150,11.036915,199.652277
0.023040,3.813408,0.000150,11.038840,199.652277
0.023552,3.915645,0.000110,11.040820,199.652277
0.024064,4.017881,0.000050,11.042850,199.652277
0.024576,4.120117,0.000050,11.044930,199.652277
0.025088,4.222058,0.000030,11.047070,195.839675
0.025600,4.319051,0.000005,11.049255,183.033990
0.026112,4.409491,-0.000025,11.051490,170.228304
0.026624,4.493377,-0.000065,11.053770,157.422619
0.027136,4.570709,-0.000100,11.056090,144.616934
0.027648,4.641488,-0.000105,11.058450,131.811248
0.028160,4.705714,-0.000135,11.060840,119.034667
0.028672,4.763386,-0.000125,11.063265,106.228981
0.029184,4.814504,-0.000085,11.065720,93.423296
0.029696,4.859067,-0.000060,11.068195,80.617610
0.030208,4.897079,-0.000055,11.070690,67.811925
0.030720,4.928537,-0.000040,11.073210,55.035343
0.031232,4.953440,-0.000005,11.075740,42.229658
0.031744,4.971790,0.000035,11.078280,29.423973
0.032256,4.983586,0.000055,11.080830,16.618287
0.032768,4.988830,0.000100,11.083380,3.812602
0.033280,4.989125,0.000155,11.085935,0.000000
0.033792,4.989125,0.000205,11.088490,0.000000
0.034304,4.989125,0.000215,11.091045,0.000000
0.034816,4.989125,0.000220,11.093600,0.000000
0.035328,4.989125,0.000250,11.096155,0.000000
0.035840,4.989125,0.000265,11.098710,0.000000
0.036352,4.989125,0.000250,11.101260,0.000000
0.036864,4.989125,0.000235,11.103815,0.000000
0.037376,4.989125,0.000240,11.106370,0.000000
0.037888,4.989125,0.000230,11.108925,0.000000
0.038400,4.989125,0.000195,11.111480,0.000000
0.038912,4.989125,0.000165,11.114035,0.000000
0.039424,4.989125,0.000140,11.116590,0.000000
0.039936,4.989125,0.000130,11.119145,0.000000
0.040448,4.989125,0.000045,11.121700,0.000000
0.040960,4.989125,0.000015,11.124250,0.000000
0.041472,4.989125,-0.000010,11.126805,0.000000
0.041984,4.989125,-0.000035,11.129360,0.000000
0.042496,4.989125,-0.000060,11.131915,0.000000
0.043008,4.989125,-0.000100,11.134470,0.000000
0.043520,4.989125,-0.000110,11.137025,0.000000
0.044032,4.989125,-0.000155,11.139580,0.000000
0.044544,4.989125,-0.000190,11.142135,0.000000
0.045056,4.989125,-0.000170,11.144690,0.000000
0.045568,4.989125,-0.000155,11.147240,0.000000
0.046080,4.989125,-0.000155,11.149795,0.000000
0.046592,4.989125,-0.000165,11.152350,0.000000
0.047104,4.989125,-0.000170,11.154905,0.000000
0.047616,4.989125,-0.000140,11.157460,0.000000
0.048128,4.989125,-0.000145,11.160015,0.000000
0.048640,4.989125,-0.000130,11.162570,0.000000
0.049152,4.989125,-0.000080,11.165125,0.000000
0.049664,4.989125,-0.000055,11.167680,0.000000
0.050176,4.989125,-0.000050,11.170230,0.000000
0.050688,4.989125,-0.000045,11.172785,0.000000
0.051200,4.989125,-0.000010,11.175340,0.000000
0.051712,4.989125,0.000020,11.177895,0.000000
0.052224,4.989125,0.000040,11.180450,0.000000
0.052736,4.989125,0.000035,11.183005,0.000000
0.053248,4.989125,0.000065,11.185560,0.000000
0.053760,4.989125,0.000095,11.188115,0.000000
0.054272,4.989125,0.000105,11.190670,0.000000
0.054784,4.989125,0.000110,11.193220,0.000000
0.055296,4.989125,0.000135,11.195775,0.000000
0.055808,4.989125,0.000175,11.198330,0.000000
0.056320,4.989125,0.000165,11.200885,0.000000
0.056832,4.989125,0.000140,11.203440,0.000000
0.057344,4.989125,0.000160,11.205995,0.000000
0.057856,4.989125,0.000185,11.208550,0.000000
0.058368,4.989125,0.000200,11.211105,0.000000
0.058880,4.989125,0.000200,11.213655,0.000000
0.059392,4.989125,0.000185,11.216210,0.000000
0.059904,4.989125,0.000195,11.218765,0.000000
0.060416,4.989125,0.000160,11.221320,0.000000
0.060928,4.989125,0.000160,11.223875,0.000000
0.061440,4.989125,0.000195,11.226430,0.000000
0.061952,4.989125,0.000210,11.228985,0.000000
0.062464,4.989125,0.000185,11.231540,0.000000
0.062976,4.989125,0.000170,11.234095,0.000000
0.063488,4.989125,0.000180,11.236645,0.000000
0.064000,4.989125,0.000155,11.239200,0.000000
0.064512,4.989125,0.000130,11.241755,0.000000
0.065024,4.989125,0.000125,11.244310,0.000000
0.065536,4.989125,0.000115,11.246865,0.000000
0.066048,4.989125,0.000115,11.249420,0.000000
0.066560,4.989125,0.000075,11.251975,0.000000
0.067072,4.989125,0.000065,11.254530,0.000000
0.067584,4.989125,0.000045,11.257085,0.000000
0.068096,4.989125,0.000020,11.259635,0.000000
0.068608,4.989125,-0.000035,11.262190,0.000000
0.069120,4.989125,-0.000055,11.264745,0.000000
0.069632,4.989125,-0.000065,11.267300,0.000000
