Period (s),PositionError (mm),CommandedVelocity (mm/s),ActivityStatusRegister,PhasingInitialized,AtMaximumVelocity,Tracking,CurrentProfileMode,AxisSettled,MotorOn,PositionCapture,InMotion,InPositiveLimit,InNegativeLimit,ProfileSegment
0.000000,0.000000,-0.000033,9493,1,0,1,2,0,1,0,1,0,0,1
0.000512,0.000000,-0.003965,9493,1,0,1,2,0,1,0,1,0,0,1
0.001024,-0.000005,-0.014451,9489,1,0,0,2,0,1,0,1,0,0,1
0.001536,-0.000005,-0.031491,9489,1,0,0,2,0,1,0,1,0,0,1
0.002048,0.000000,-0.055084,9493,1,0,1,2,0,1,0,1,0,0,1
0.002560,-0.000010,-0.085230,9489,1,0,0,2,0,1,0,1,0,0,1
0.003072,-0.000040,-0.121930,9489,1,0,0,2,0,1,0,1,0,0,1
0.003584,-0.000070,-0.165184,9489,1,0,0,2,0,1,0,1,0,0,1
0.004096,-0.000110,-0.214991,9489,1,0,0,2,0,1,0,1,0,0,1
0.004608,-0.000150,-0.271353,9489,1,0,0,2,0,1,0,1,0,0,1
0.005120,-0.000200,-0.334267,9489,1,0,0,2,0,1,0,1,0,0,1
0.005632,-0.000250,-0.403735,9489,1,0,0,2,0,1,0,1,0,0,1
0.006144,-0.000305,-0.479758,9489,1,0,0,2,0,1,0,1,0,0,1
0.006656,-0.000355,-0.562333,9489,1,0,0,2,0,1,0,1,0,0,1
0.007168,-0.000415,-0.651461,9489,1,0,0,2,0,1,0,1,0,0,1
0.007680,-0.000455,-0.747144,9489,1,0,0,2,0,1,0,1,0,0,1
0.008192,-0.000510,-0.848562,17681,1,0,0,2,0,1,0,1,0,0,2
0.008704,-0.000540,-0.950797,17681,1,0,0,2,0,1,0,1,0,0,2
0.009216,-0.000560,-1.053034,17681,1,0,0,2,0,1,0,1,0,0,2
0.009728,-0.000580,-1.155269,17681,1,0,0,2,0,1,0,1,0,0,2
0.010240,-0.000580,-1.257506,17681,1,0,0,2,0,1,0,1,0,0,2
0.010752,-0.000590,-1.359741,17681,1,0,0,2,0,1,0,1,0,0,2
0.011264,-0.000595,-1.461978,17681,1,0,0,2,0,1,0,1,0,0,2
0.011776,-0.000600,-1.564214,17681,1,0,0,2,0,1,0,1,0,0,2
0.012288,-0.000605,-1.666451,17681,1,0,0,2,0,1,0,1,0,0,2
0.012800,-0.000610,-1.768686,17681,1,0,0,2,0,1,0,1,0,0,2
0.013312,-0.000620,-1.870923,17681,1,0,0,2,0,1,0,1,0,0,2
0.013824,-0.000635,-1.973158,17681,1,0,0,2,0,1,0,1,0,0,2
0.014336,-0.000645,-2.075395,17681,1,0,0,2,0,1,0,1,0,0,2
0.014848,-0.000660,-2.177632,17681,1,0,0,2,0,1,0,1,0,0,2
0.015360,-0.000665,-2.279867,17681,1,0,0,2,0,1,0,1,0,0,2
0.015872,-0.000675,-2.382104,17681,1,0,0,2,0,1,0,1,0,0,2
0.016384,-0.000690,-2.484339,17681,1,0,0,2,0,1,0,1,0,0,2
0.016896,-0.000705,-2.586576,17681,1,0,0,2,0,1,0,1,0,0,2
0.017408,-0.000730,-2.688812,17681,1,0,0,2,0,1,0,1,0,0,2
