Period (s),PositionError (mm),CommandedVelocity (mm/s),ActivityStatusRegister,PhasingInitialized,AtMaximumVelocity,Tracking,CurrentProfileMode,AxisSettled,MotorOn,PositionCapture,InMotion,InPositiveLimit,InNegativeLimit,ProfileSegment
0.000000,0.000005,0.000031,9489,1,0,0,2,0,1,0,1,0,0,1
0.000512,-0.000005,0.003964,9489,1,0,0,2,0,1,0,1,0,0,1
0.001024,0.000000,0.014450,9493,1,0,1,2,0,1,0,1,0,0,1
0.001536,0.000005,0.031489,9489,1,0,0,2,0,1,0,1,0,0,1
0.002048,0.000010,0.055082,9489,1,0,0,2,0,1,0,1,0,0,1
0.002560,0.000020,0.085229,9489,1,0,0,2,0,1,0,1,0,0,1
0.003072,0.000030,0.121929,9489,1,0,0,2,0,1,0,1,0,0,1
0.003584,0.000070,0.165182,9489,1,0,0,2,0,1,0,1,0,0,1
0.004096,0.000095,0.214989,9489,1,0,0,2,0,1,0,1,0,0,1
0.004608,0.000125,0.271352,9489,1,0,0,2,0,1,0,1,0,0,1
0.005120,0.000160,0.334266,9489,1,0,0,2,0,1,0,1,0,0,1
0.005632,0.000185,0.403734,9489,1,0,0,2,0,1,0,1,0,0,1
0.006144,0.000200,0.479756,9489,1,0,0,2,0,1,0,1,0,0,1
0.006656,0.000220,0.562331,9489,1,0,0,2,0,1,0,1,0,0,1
0.007168,0.000225,0.651459,9489,1,0,0,2,0,1,0,1,0,0,1
0.007680,0.000220,0.747143,9489,1,0,0,2,0,1,0,1,0,0,1
0.008192,0.000210,0.848560,17681,1,0,0,2,0,1,0,1,0,0,2
0.008704,0.000180,0.950795,17681,1,0,0,2,0,1,0,1,0,0,2
0.009216,0.000145,1.053032,17681,1,0,0,2,0,1,0,1,0,0,2
0.009728,0.000105,1.155268,17681,1,0,0,2,0,1,0,1,0,0,2
0.010240,0.000050,1.257505,17681,1,0,0,2,0,1,0,1,0,0,2
0.010752,0.000000,1.359740,17685,1,0,1,2,0,1,0,1,0,0,2
0.011264,-0.000055,1.461977,17681,1,0,0,2,0,1,0,1,0,0,2
0.011776,-0.000105,1.564212,17681,1,0,0,2,0,1,0,1,0,0,2
0.012288,-0.000155,1.666449,17681,1,0,0,2,0,1,0,1,0,0,2
0.012800,-0.000190,1.768684,17681,1,0,0,2,0,1,0,1,0,0,2
0.013312,-0.000210,1.870921,17681,1,0,0,2,0,1,0,1,0,0,2
0.013824,-0.000190,1.973157,17681,1,0,0,2,0,1,0,1,0,0,2
0.014336,-0.000205,2.075393,17681,1,0,0,2,0,1,0,1,0,0,2
0.014848,-0.000200,2.177630,17681,1,0,0,2,0,1,0,1,0,0,2
0.015360,-0.000180,2.279866,17681,1,0,0,2,0,1,0,1,0,0,2
