Period (s),ActiveMotorCommand,ActualPosition (mm)
0.000000,68,0.000000
0.002202,5948,0.021470
0.004403,2550,0.081865
0.006605,221,0.150785
0.008806,-290,0.208870
0.011008,-521,0.251235
0.013210,-764,0.280150
0.015411,-1179,0.296545
0.017613,-1874,0.301855
0.019814,-2536,0.295475
0.022016,-3160,0.277240
0.024218,-3417,0.246660
0.026419,-3301,0.203990
0.028621,-2948,0.151140
0.030822,-2371,0.090755
0.033024,-1681,0.025750
0.035226,-875,-0.040635
0.037427,126,-0.106045
0.039629,1039,-0.167020
0.041830,1869,-0.220580
0.044032,2416,-0.263800
0.046234,2929,-0.294820
0.048435,3230,-0.312820
0.050637,3256,-0.316430
0.052838,3058,-0.305625
0.055040,2680,-0.281065
0.057242,2124,-0.243995
0.059443,1751,-0.196895
0.061645,1250,-0.142195
0.063846,766,-0.081955
0.066048,302,-0.018570
0.068250,-76,0.045150
0.070451,-331,0.105845
0.072653,-536,0.161325
0.074854,-666,0.209520
0.077056,-834,0.248910
0.079258,-1077,0.278195
0.081459,-1298,0.296115
0.083661,-1467,0.301580
0.085862,-1630,0.294555
0.088064,-1776,0.275460
0.090266,-1844,0.244770
0.092467,-1888,0.203910
0.094669,-1825,0.154410
0.096870,-1669,0.098450
0.099072,-1422,0.038015
0.101274,-1047,-0.024490
0.103475,-538,-0.086425
0.105677,45,-0.145225
0.107878,567,-0.198005
0.110080,1088,-0.242210
0.112282,1632,-0.276185
0.114483,2232,-0.298970
0.116685,2685,-0.309070
0.118886,3085,-0.306160
0.121088,3189,-0.289735
0.123290,3130,-0.260095
0.125491,2902,-0.218800
0.127693,2574,-0.167950
0.129894,2010,-0.109245
0.132096,1342,-0.045530
0.134298,567,0.020530
0.136499,-168,0.085730
0.138701,-818,0.146905
0.140902,-1338,0.201260
0.143104,-1746,0.246210
0.145306,-2051,0.280200
0.147507,-2298,0.301940
0.149709,-2385,0.310670
0.151910,-2339,0.305880
0.154112,-2241,0.287990
0.156314,-1940,0.257520
0.158515,-1652,0.216115
0.160717,-1298,0.165765
0.162918,-1010,0.108925
0.165120,-678,0.047925
0.167322,-347,-0.014830
0.169523,-21,-0.076540
0.171725,279,-0.134890
0.173926,610,-0.187465
0.176128,863,-0.231800
0.178330,1135,-0.266350
0.180531,1485,-0.290030
0.182733,1882,-0.302250
0.184934,2244,-0.302120
