Period (s),PositionError (mm)
0.000000,0.000000
0.000512,0.000000
0.001024,0.000000
0.001536,0.000005
0.002048,0.000005
0.002560,0.000010
0.003072,0.000005
0.003584,0.000005
0.004096,0.000005
0.004608,-0.000005
0.005120,-0.000005
0.005632,0.000000
0.006144,0.000005
0.006656,0.000005
0.007168,0.000005
0.007680,0.000005
0.008192,0.000000
0.008704,-0.000005
0.009216,-0.000005
0.009728,0.000005
0.010240,0.000005
0.010752,0.000005
0.011264,0.000000
0.011776,0.000000
0.012288,-0.000005
0.012800,-0.000005
0.013312,0.000000
0.013824,0.000010
0.014336,0.000010
0.014848,0.000005
0.015360,0.000000
0.015872,-0.000005
0.016384,0.000000
0.016896,0.000000
0.017408,0.000000
0.017920,0.000005
0.018432,0.000005
0.018944,0.000000
0.019456,0.000000
0.019968,0.000000
0.020480,0.000000
0.020992,0.000005
0.021504,0.000010
0.022016,0.000010
0.022528,0.000010
0.023040,0.000000
0.023552,0.000005
0.024064,0.000005
0.024576,0.000005
0.025088,0.000005
0.025600,0.000005
0.026112,0.000005
0.026624,0.000000
0.027136,0.000000
0.027648,0.000000
0.028160,0.000005
0.028672,0.000010
0.029184,0.000010
0.029696,0.000005
0.030208,0.000005
0.030720,0.000005
0.031232,0.000005
0.031744,0.000005
0.032256,0.000005
0.032768,0.000000
0.033280,0.000000
0.033792,0.000000
0.034304,0.000000
0.034816,0.000000
0.035328,0.000000
0.035840,0.000005
0.036352,0.000005
0.036864,0.000000
0.037376,-0.000005
0.037888,-0.000005
0.038400,0.000000
0.038912,0.000000
0.039424,0.000000
0.039936,0.000000
0.040448,-0.000005
0.040960,-0.000005
0.041472,-0.000005
0.041984,0.000000
0.042496,0.000000
0.043008,0.000000
0.043520,0.000000
0.044032,0.000000
0.044544,-0.000005
0.045056,-0.000005
0.045568,-0.000010
0.046080,-0.000005
0.046592,-0.000005
0.047104,-0.000005
0.047616,0.000000
0.048128,-0.000005
0.048640,-0.000005
0.049152,-0.000005
0.049664,-0.000010
0.050176,-0.000010
0.050688,-0.000010
0.051200,-0.000005
0.051712,0.000000
0.052224,-0.000005
0.052736,-0.000005
0.053248,-0.000005
0.053760,-0.000010
0.054272,-0.000005
0.054784,-0.000005
0.055296,-0.000005
0.055808,0.000000
0.056320,0.000005
0.056832,0.000005
0.057344,-0.000005
0.057856,-0.000005
0.058368,-0.000005
0.058880,-0.000005
0.059392,-0.000005
0.059904,0.000000
0.060416,0.000000
0.060928,0.000000
0.061440,-0.000005
0.061952,-0.000005
0.062464,-0.000005
0.062976,-0.000005
0.063488,0.000000
0.064000,0.000005
0.064512,0.000005
0.065024,0.000000
0.065536,-0.000005
0.066048,-0.000005
0.066560,-0.000005
0.067072,-0.000005
0.067584,0.000000
0.068096,0.000000
0.068608,0.000000
0.069120,0.000000
0.069632,0.000000
0.070144,0.000000
0.070656,0.000005
0.071168,0.000000
0.071680,0.000000
0.072192,0.000000
0.072704,0.000000
0.073216,0.000000
0.073728,0.000000
0.074240,0.000000
0.074752,0.000000
0.075264,0.000000
0.075776,0.000000
0.076288,0.000005
0.076800,0.000005
0.077312,-0.000005
0.077824,-0.000005
0.078336,-0.000005
0.078848,-0.000005
0.079360,-0.000005
0.079872,-0.000005
0.080384,-0.000005
0.080896,-0.000005
0.081408,-0.000005
0.081920,0.000000
0.082432,-0.000005
0.082944,-0.000005
0.083456,-0.000005
0.083968,0.000000
0.084480,0.000000
0.084992,0.000000
0.085504,-0.000005
0.086016,-0.000005
0.086528,-0.000005
0.087040,-0.000005
0.087552,-0.000005
0.088064,-0.000005
0.088576,-0.000005
0.089088,-0.000005
0.089600,-0.000005
