Period (s),ActualPosition (mm),Gate,Trigger
0.000000,12.001890,0,0
0.000205,12.001890,0,0
0.000410,12.001890,0,0
0.000614,12.001895,0,0
0.000819,12.001895,0,0
0.001024,12.001895,0,0
0.001229,12.001900,0,0
0.001434,12.001905,0,0
0.001638,12.001910,0,0
0.001843,12.001910,0,0
0.002048,12.001915,0,0
0.002253,12.001915,0,0
0.002458,12.001925,0,0
0.002662,12.001935,0,0
0.002867,12.001950,0,0
0.003072,12.001965,0,0
0.003277,12.001985,0,0
0.003482,12.002005,0,0
0.003686,12.002025,0,0
0.003891,12.002050,0,0
0.004096,12.002085,0,0
0.004301,12.002115,0,0
0.004506,12.002150,0,0
0.004710,12.002195,0,0
0.004915,12.002250,0,0
0.005120,12.002300,0,0
0.005325,12.002360,0,0
0.005530,12.002420,0,0
0.005734,12.002495,0,0
0.005939,12.002570,0,0
0.006144,12.002650,0,0
0.006349,12.002720,0,0
0.006554,12.002815,0,0
0.006758,12.002915,0,0
0.006963,12.003020,0,0
0.007168,12.003140,0,0
0.007373,12.003260,0,0
0.007578,12.003395,0,0
0.007782,12.003540,0,0
0.007987,12.003695,0,0
0.008192,12.003865,0,0
0.008397,12.004045,0,0
0.008602,12.004235,0,0
0.008806,12.004440,0,0
0.009011,12.004650,0,0
0.009216,12.004870,0,0
0.009421,12.005095,0,0
0.009626,12.005325,0,0
0.009830,12.005570,0,0
0.010035,12.005815,0,0
0.010240,12.006075,0,0
0.010445,12.006350,0,0
0.010650,12.006630,0,0
0.010854,12.006915,0,0
0.011059,12.007215,0,0
0.011264,12.007525,0,0
0.011469,12.007840,0,0
0.011674,12.008160,0,0
0.011878,12.008490,0,0
0.012083,12.008835,0,0
0.012288,12.009185,0,0
0.012493,12.009525,0,0
0.012698,12.009885,0,0
0.012902,12.010250,0,0
0.013107,12.010625,0,0
0.013312,12.011010,0,0
0.013517,12.011405,0,0
0.013722,12.011810,0,0
0.013926,12.012220,0,0
0.014131,12.012640,0,0
0.014336,12.013065,0,0
0.014541,12.013500,0,0
0.014746,12.013940,0,0
0.014950,12.014400,0,0
0.015155,12.014860,0,0
0.015360,12.015315,0,0
0.015565,12.015785,0,0
0.015770,12.016255,0,0
0.015974,12.016750,0,0
0.016179,12.017245,0,0
0.016384,12.017760,0,0
0.016589,12.018275,0,0
0.016794,12.018805,0,0
0.016998,12.019340,0,0
0.017203,12.019885,0,0
0.017408,12.020440,0,0
0.017613,12.020995,0,0
0.017818,12.021555,0,0
0.018022,12.022120,0,0
0.018227,12.022695,0,0
0.018432,12.023280,0,0
0.018637,12.023870,0,0
0.018842,12.024460,0,0
0.019046,12.025070,0,0
0.019251,12.025690,0,0
0.019456,12.026315,0,0
0.019661,12.026950,0,0
0.019866,12.027590,0,0
0.020070,12.028245,0,0
0.020275,12.028910,0,0
0.020480,12.029590,0,0
0.020685,12.030275,0,0
0.020890,12.030970,0,0
0.021094,12.031665,0,0
0.021299,12.032365,0,0
0.021504,12.033070,0,0
0.021709,12.033790,0,0
0.021914,12.034525,0,0
0.022118,12.035265,0,0
0.022323,12.035995,0,0
0.022528,12.036735,0,0
0.022733,12.037510,0,0
0.022938,12.038300,0,0
0.023142,12.039085,0,0
0.023347,12.039885,0,0
0.023552,12.040685,0,0
0.023757,12.041495,0,0
0.023962,12.042315,0,0
0.024166,12.043135,0,0
0.024371,12.043965,0,0
0.024576,12.044810,0,0
0.024781,12.045675,0,0
0.024986,12.046535,0,0
0.025190,12.047390,0,0
0.025395,12.048270,0,0
0.025600,12.049165,0,0
0.025805,12.050065,0,0
0.026010,12.050975,0,0
0.026214,12.051895,0,0
0.026419,12.052820,0,0
0.026624,12.053730,0,0
0.026829,12.054660,0,0
0.027034,12.055600,0,0
0.027238,12.056540,0,0
0.027443,12.057490,0,0
0.027648,12.058450,0,0
0.027853,12.059420,0,0
0.028058,12.060405,0,0
0.028262,12.061390,0,0
0.028467,12.062380,0,0
0.028672,12.063360,0,0
0.028877,12.064345,0,0
0.029082,12.065330,0,0
0.029286,12.066310,0,0
0.029491,12.067305,0,0
0.029696,12.068305,0,0
0.029901,12.069300,0,0
0.030106,12.070295,0,0
0.030310,12.071305,0,0
0.030515,12.072310,0,0
0.030720,12.073300,0,0
0.030925,12.074295,0,0
0.031130,12.075300,0,0
0.031334,12.076290,0,0
0.031539,12.077285,0,0
0.031744,12.078285,0,0
0.031949,12.079305,0,0
0.032154,12.080335,0,0
0.032358,12.081370,0,0
0.032563,12.082405,0,0
0.032768,12.083425,0,0
0.032973,12.084420,0,0
0.033178,12.085440,0,0
0.033382,12.086445,0,0
0.033587,12.087445,0,0
0.033792,12.088455,0,0
0.033997,12.089470,0,0
0.034202,12.090480,0,0
0.034406,12.091490,0,0
0.034611,12.092505,0,0
0.034816,12.093525,0,0
0.035021,12.094540,0,0
0.035226,12.095550,0,0
