Period (s),CommandedVelocity (mm/s),PositionError (mm)
0.000000,0.000031,0.000005
0.000512,0.003964,0.000005
0.001024,0.014450,0.000005
0.001536,0.031489,0.000000
0.002048,0.055082,0.000005
0.002560,0.085229,0.000020
0.003072,0.121929,0.000040
0.003584,0.165182,0.000065
0.004096,0.214989,0.000100
0.004608,0.271352,0.000130
0.005120,0.334266,0.000165
0.005632,0.403734,0.000190
0.006144,0.479756,0.000215
0.006656,0.562331,0.000240
0.007168,0.651459,0.000265
0.007680,0.747143,0.000270
0.008192,0.848560,0.000265
0.008704,0.950795,0.000240
0.009216,1.053032,0.000215
0.009728,1.155268,0.000195
0.010240,1.257505,0.000170
0.010752,1.359740,0.000150
0.011264,1.461977,0.000120
0.011776,1.564212,0.000105
0.012288,1.666449,0.000070
0.012800,1.768684,0.000060
0.013312,1.870921,0.000060
0.013824,1.973157,0.000045
0.014336,2.075393,0.000025
0.014848,2.177630,0.000020
0.015360,2.279866,0.000025
0.015872,2.382103,0.000040
0.016384,2.484338,0.000030
0.016896,2.586575,0.000020
0.017408,2.688810,0.000010
0.017920,2.791047,0.000020
0.018432,2.893282,0.000040
0.018944,2.995519,0.000070
0.019456,3.097755,0.000080
0.019968,3.199992,0.000095
0.020480,3.302227,0.000080
0.020992,3.404464,0.000080
0.021504,3.506699,0.000085
0.022016,3.608936,0.000070
0.022528,3.711171,0.000105
0.023040,3.813408,0.000080
0.023552,3.915645,0.000080
0.024064,4.017881,0.000075
0.024576,4.120117,0.000090
0.025088,4.222058,0.000080
0.025600,4.319051,0.000090
0.026112,4.409491,0.000065
0.026624,4.493377,0.000045
0.027136,4.570709,0.000055
0.027648,4.641488,0.000055
0.028160,4.705714,0.000045
0.028672,4.763386,0.000025
0.029184,4.814504,0.000035
0.029696,4.859067,0.000045
0.030208,4.897079,0.000045
0.030720,4.928537,0.000055
0.031232,4.953440,0.000090
0.031744,4.971790,0.000160
0.032256,4.983586,0.000180
0.032768,4.988830,0.000175
0.033280,4.989125,0.000240
0.033792,4.989125,0.000305
0.034304,4.989125,0.000350
0.034816,4.989125,0.000395
0.035328,4.989125,0.000415
0.035840,4.989125,0.000455
0.036352,4.989125,0.000440
0.036864,4.989125,0.000455
0.037376,4.989125,0.000500
0.037888,4.989125,0.000505
0.038400,4.989125,0.000475
0.038912,4.989125,0.000465
0.039424,4.989125,0.000465
0.039936,4.989125,0.000465
0.040448,4.989125,0.000440
0.040960,4.989125,0.000440
0.041472,4.989125,0.000430
0.041984,4.989125,0.000430
0.042496,4.989125,0.000390
0.043008,4.989125,0.000380
0.043520,4.989125,0.000390
0.044032,4.989125,0.000405
0.044544,4.989125,0.000385
0.045056,4.989125,0.000370
0.045568,4.989125,0.000385
0.046080,4.989125,0.000370
0.046592,4.989125,0.000350
0.047104,4.989125,0.000375
0.047616,4.989125,0.000405
0.048128,4.989125,0.000435
0.048640,4.989125,0.000410
0.049152,4.989125,0.000425
0.049664,4.989125,0.000445
0.050176,4.989125,0.000450
0.050688,4.989125,0.000475
0.051200,4.989125,0.000480
0.051712,4.989125,0.000525
0.052224,4.989125,0.000540
0.052736,4.989125,0.000550
0.053248,4.989125,0.000605
0.053760,4.989125,0.000640
0.054272,4.989125,0.000655
0.054784,4.989125,0.000655
0.055296,4.989125,0.000685
0.055808,4.989125,0.000730
0.056320,4.989125,0.000720
0.056832,4.989125,0.000740
0.057344,4.989125,0.000775
0.057856,4.989125,0.000795
0.058368,4.989125,0.000790
0.058880,4.989125,0.000765
0.059392,4.989125,0.000780
0.059904,4.989125,0.000800
0.060416,4.989125,0.000785
0.060928,4.989125,0.000755
0.061440,4.989125,0.000745
0.061952,4.989125,0.000735
0.062464,4.989125,0.000715
0.062976,4.989125,0.000685
0.063488,4.989125,0.000665
0.064000,4.989125,0.000670
0.064512,4.989125,0.000605
0.065024,4.989125,0.000540
0.065536,4.989125,0.000525
0.066048,4.989125,0.000490
0.066560,4.989125,0.000455
0.067072,4.989125,0.000380
0.067584,4.989125,0.000330
0.068096,4.989125,0.000255
0.068608,4.989125,0.000160
0.069120,4.989125,0.000120
0.069632,4.989125,0.000085
0.070144,4.989125,0.000025
0.070656,4.989125,-0.000055
0.071168,4.989125,-0.000140
0.071680,4.989125,-0.000190
0.072192,4.989125,-0.000315
0.072704,4.989125,-0.000400
0.073216,4.989125,-0.000465
0.073728,4.989125,-0.000530
0.074240,4.989125,-0.000625
0.074752,4.989125,-0.000725
0.075264,4.989125,-0.000795
0.075776,4.989125,-0.000870
0.076288,4.989125,-0.000985
0.076800,4.989125,-0.001075
0.077312,4.989125,-0.001125
0.077824,4.989125,-0.001180
0.078336,4.989125,-0.001245
0.078848,4.989125,-0.001285
0.079360,4.989125,-0.001315
0.079872,4.989125,-0.001365
0.080384,4.989125,-0.001460
0.080896,4.989125,-0.001480
0.081408,4.989125,-0.001505
0.081920,4.989125,-0.001535
0.082432,4.989125,-0.001540
0.082944,4.989125,-0.001580
0.083456,4.989125,-0.001580
0.083968,4.989125,-0.001630
0.084480,4.989125,-0.001645
0.084992,4.989125,-0.001615
0.085504,4.989125,-0.001595
0.086016,4.989125,-0.001590
0.086528,4.989125,-0.001570
0.087040,4.989125,-0.001545
0.087552,4.989125,-0.001505
0.088064,4.989125,-0.001495
0.088576,4.989125,-0.001465
0.089088,4.989125,-0.001415
0.089600,4.989125,-0.001350
0.090112,4.989125,-0.001335
0.090624,4.989125,-0.001275
0.091136,4.989125,-0.001195
0.091648,4.989125,-0.001115
0.092160,4.989125,-0.001075
0.092672,4.989125,-0.001035
0.093184,4.989125,-0.000960
