Period (s),ActualVelocity (mm/s)
0.000000,0.000000
0.000512,-0.097656
0.001024,0.000000
0.001536,0.097656
0.002048,0.097656
0.002560,0.000000
0.003072,0.000000
0.003584,0.195312
0.004096,0.000000
0.004608,0.097656
0.005120,0.195312
0.005632,0.390625
0.006144,0.390625
0.006656,0.488281
0.007168,0.585938
0.007680,0.781250
0.008192,0.781250
0.008704,1.074219
0.009216,1.171875
0.009728,1.171875
0.010240,1.269531
0.010752,1.367187
0.011264,1.464844
0.011776,1.562500
0.012288,1.660156
0.012800,1.757812
0.013312,1.855469
0.013824,1.953125
0.014336,2.050781
0.014848,2.148438
0.015360,2.246094
0.015872,2.343750
0.016384,2.539062
0.016896,2.539062
0.017408,2.734375
0.017920,2.832031
0.018432,2.929687
0.018944,3.027344
0.019456,3.027344
0.019968,3.222656
0.020480,3.222656
0.020992,3.417969
0.021504,3.417969
0.022016,3.613281
0.022528,3.613281
0.023040,3.808594
0.023552,4.003906
0.024064,4.101562
0.024576,4.199219
0.025088,4.199219
0.025600,4.394531
0.026112,4.492188
0.026624,4.492188
0.027136,4.492188
0.027648,4.589844
0.028160,4.785156
0.028672,4.785156
0.029184,4.785156
0.029696,4.785156
0.030208,4.882812
0.030720,4.882812
0.031232,4.785156
0.031744,4.980469
0.032256,4.980469
0.032768,4.980469
0.033280,4.882812
0.033792,4.980469
0.034304,4.980469
0.034816,4.980469
0.035328,4.882812
0.035840,4.980469
0.036352,5.175781
0.036864,5.078125
0.037376,5.078125
0.037888,5.078125
0.038400,5.078125
0.038912,5.078125
0.039424,5.078125
0.039936,5.175781
0.040448,5.273438
0.040960,5.078125
0.041472,5.078125
0.041984,5.078125
0.042496,5.078125
0.043008,5.078125
0.043520,4.980469
0.044032,5.078125
0.044544,4.980469
0.045056,5.078125
0.045568,4.980469
0.046080,4.980469
0.046592,4.882812
0.047104,4.882812
0.047616,5.078125
0.048128,4.980469
0.048640,4.882812
0.049152,4.980469
0.049664,4.882812
0.050176,4.980469
0.050688,4.882812
0.051200,4.882812
0.051712,4.882812
0.052224,4.980469
0.052736,4.980469
0.053248,4.980469
0.053760,4.882812
0.054272,4.882812
0.054784,4.882812
0.055296,4.785156
0.055808,4.980469
0.056320,5.078125
0.056832,4.882812
0.057344,4.882812
0.057856,4.882812
0.058368,4.882812
0.058880,4.882812
0.059392,4.882812
0.059904,4.980469
0.060416,4.980469
0.060928,4.882812
0.061440,4.882812
0.061952,4.882812
0.062464,4.980469
0.062976,4.980469
0.063488,4.882812
0.064000,4.980469
0.064512,4.980469
0.065024,4.980469
0.065536,4.980469
0.066048,5.078125
0.066560,4.980469
0.067072,4.882812
0.067584,4.882812
0.068096,4.980469
0.068608,5.175781
0.069120,4.980469
0.069632,5.078125
0.070144,5.078125
0.070656,5.078125
0.071168,4.980469
0.071680,4.980469
0.072192,5.078125
0.072704,5.175781
0.073216,5.175781
0.073728,5.078125
0.074240,4.980469
0.074752,5.175781
0.075264,5.078125
0.075776,5.078125
0.076288,5.175781
0.076800,4.980469
0.077312,4.980469
0.077824,4.980469
0.078336,4.980469
0.078848,4.980469
0.079360,4.882812
0.079872,4.980469
0.080384,4.980469
0.080896,4.980469
0.081408,4.980469
0.081920,5.078125
0.082432,4.882812
0.082944,4.785156
0.083456,4.882812
0.083968,4.882812
0.084480,5.175781
0.084992,4.980469
0.085504,4.882812
0.086016,5.078125
0.086528,4.980469
0.087040,4.785156
0.087552,4.882812
0.088064,4.980469
0.088576,5.078125
0.089088,4.882812
0.089600,4.882812
0.090112,4.980469
0.090624,4.980469
0.091136,4.882812
0.091648,4.980469
0.092160,4.882812
0.092672,4.882812
0.093184,4.882812
0.093696,4.882812
0.094208,4.980469
0.094720,4.882812
0.095232,4.882812
0.095744,4.785156
0.096256,4.980469
0.096768,4.980469
0.097280,4.980469
0.097792,4.980469
0.098304,5.078125
0.098816,4.980469
0.099328,4.980469
0.099840,4.980469
0.100352,5.078125
0.100864,5.078125
0.101376,5.078125
0.101888,5.078125
0.102400,4.980469
0.102912,4.882812
0.103424,4.882812
0.103936,4.980469
0.104448,5.078125
0.104960,5.078125
0.105472,5.078125
0.105984,5.078125
0.106496,5.078125
0.107008,5.078125
0.107520,4.980469
0.108032,5.078125
0.108544,5.078125
0.109056,4.980469
0.109568,5.078125
0.110080,5.078125
0.110592,5.078125
0.111104,5.078125
0.111616,4.980469
0.112128,5.078125
0.112640,5.078125
0.113152,5.078125
0.113664,5.078125
0.114176,5.078125
0.114688,5.078125
0.115200,4.980469
0.115712,4.980469
0.116224,4.980469
0.116736,4.980469
0.117248,5.078125
0.117760,5.078125
0.118272,4.980469
0.118784,4.980469
0.119296,4.980469
0.119808,4.980469
0.120320,5.078125
0.120832,5.175781
0.121344,4.980469
0.121856,4.980469
0.122368,4.882812
0.122880,4.882812
0.123392,4.882812
0.123904,4.980469
0.124416,4.980469
0.124928,4.882812
0.125440,4.882812
0.125952,4.882812
0.126464,4.882812
0.126976,4.980469
0.127488,4.882812
0.128000,4.980469
0.128512,4.980469
0.129024,4.980469
0.129536,4.980469
0.130048,4.980469
0.130560,4.980469
0.131072,4.980469
0.131584,4.882812
0.132096,4.980469
0.132608,5.078125
0.133120,4.980469
0.133632,4.882812
0.134144,4.980469
0.134656,4.980469
0.135168,4.980469
0.135680,4.980469
0.136192,4.980469
0.136704,5.078125
0.137216,4.882812
0.137728,4.980469
0.138240,4.980469
0.138752,5.078125
0.139264,4.980469
0.139776,4.980469
0.140288,5.078125
0.140800,5.078125
0.141312,4.980469
0.141824,4.980469
0.142336,5.078125
0.142848,4.980469
0.143360,4.980469
0.143872,4.882812
0.144384,4.980469
0.144896,4.980469
0.145408,5.078125
0.145920,4.980469
0.146432,5.078125
0.146944,5.078125
0.147456,5.078125
0.147968,4.980469
0.148480,5.175781
0.148992,5.078125
0.149504,4.980469
0.150016,4.980469
0.150528,5.078125
0.151040,4.980469
0.151552,4.882812
0.152064,4.980469
0.152576,5.078125
0.153088,4.980469
0.153600,4.980469
0.154112,4.980469
0.154624,4.980469
0.155136,4.980469
0.155648,4.882812
0.156160,5.078125
0.156672,4.980469
0.157184,4.980469
0.157696,4.980469
0.158208,4.980469
0.158720,4.980469
0.159232,4.882812
0.159744,4.980469
0.160256,5.078125
0.160768,4.980469
0.161280,4.980469
0.161792,4.882812
0.162304,5.078125
0.162816,5.078125
0.163328,4.882812
0.163840,4.882812
0.164352,5.078125
0.164864,4.980469
0.165376,5.078125
0.165888,4.980469
0.166400,4.882812
0.166912,4.980469
