Period (s),CommandedVelocity (mm/s),PositionError (mm),PhaseAActualCurrent (mA)
0.000000,0.000031,0.000000,-2.444000
0.000512,0.003964,0.000000,-7.332000
0.001024,0.014450,0.000005,-10.998000
0.001536,0.031489,0.000010,-14.664000
0.002048,0.055082,0.000005,-20.774000
0.002560,0.085229,0.000015,-31.772000
0.003072,0.121929,0.000020,-31.772000
0.003584,0.165182,0.000045,-47.658000
0.004096,0.214989,0.000080,-45.214000
0.004608,0.271352,0.000120,-51.324000
0.005120,0.334266,0.000160,-62.322000
0.005632,0.403734,0.000205,-69.654000
0.006144,0.479756,0.000230,-75.764000
0.006656,0.562331,0.000265,-75.764000
0.007168,0.651459,0.000285,-84.318000
0.007680,0.747143,0.000285,-90.428000
0.008192,0.848560,0.000275,-92.872000
0.008704,0.950795,0.000260,-92.872000
0.009216,1.053032,0.000220,-90.428000
0.009728,1.155268,0.000185,-86.762000
0.010240,1.257505,0.000150,-92.872000
0.010752,1.359740,0.000120,-86.762000
0.011264,1.461977,0.000090,-92.872000
0.011776,1.564212,0.000055,-87.984000
0.012288,1.666449,0.000010,-90.428000
0.012800,1.768684,-0.000005,-90.428000
0.013312,1.870921,-0.000015,-96.538000
0.013824,1.973157,-0.000030,-105.092000
0.014336,2.075393,-0.000015,-102.648000
0.014848,2.177630,0.000015,-108.758000
0.015360,2.279866,0.000035,-112.424000
0.015872,2.382103,0.000075,-114.868000
0.016384,2.484338,0.000110,-117.312000
0.016896,2.586575,0.000135,-120.978000
0.017408,2.688810,0.000145,-117.312000
0.017920,2.791047,0.000135,-120.978000
0.018432,2.893282,0.000170,-127.088000
0.018944,2.995519,0.000190,-130.754000
0.019456,3.097755,0.000225,-129.532000
0.019968,3.199992,0.000240,-130.754000
0.020480,3.302227,0.000255,-130.754000
0.020992,3.404464,0.000275,-135.642000
0.021504,3.506699,0.000290,-130.754000
0.022016,3.608936,0.000310,-142.974000
0.022528,3.711171,0.000335,-147.862000
0.023040,3.813408,0.000345,-142.974000
0.023552,3.915645,0.000290,-133.198000
0.024064,4.017881,0.000225,-127.088000
0.024576,4.120117,0.000210,-141.752000
0.025088,4.222058,0.000185,-133.198000
0.025600,4.319051,0.000160,-136.864000
0.026112,4.409491,0.000145,-130.754000
0.026624,4.493377,0.000130,-130.754000
0.027136,4.570709,0.000115,-124.644000
0.027648,4.641488,0.000120,-130.754000
0.028160,4.705714,0.000075,-117.312000
0.028672,4.763386,0.000060,-114.868000
0.029184,4.814504,0.000085,-117.312000
0.029696,4.859067,0.000110,-118.534000
0.030208,4.897079,0.000115,-114.868000
0.030720,4.928537,0.000160,-111.202000
0.031232,4.953440,0.000210,-112.424000
0.031744,4.971790,0.000280,-112.424000
0.032256,4.983586,0.000300,-102.648000
0.032768,4.988830,0.000325,-100.204000
0.033280,4.989125,0.000355,-96.538000
0.033792,4.989125,0.000385,-92.872000
0.034304,4.989125,0.000390,-106.314000
0.034816,4.989125,0.000400,-94.094000
0.035328,4.989125,0.000440,-108.758000
0.035840,4.989125,0.000470,-92.872000
0.036352,4.989125,0.000430,-94.094000
0.036864,4.989125,0.000385,-84.318000
0.037376,4.989125,0.000350,-81.874000
0.037888,4.989125,0.000300,-87.984000
0.038400,4.989125,0.000265,-86.762000
0.038912,4.989125,0.000240,-86.762000
0.039424,4.989125,0.000235,-87.984000
0.039936,4.989125,0.000230,-92.872000
0.040448,4.989125,0.000150,-81.874000
0.040960,4.989125,0.000095,-72.098000
0.041472,4.989125,0.000065,-86.762000
0.041984,4.989125,0.000055,-84.318000
0.042496,4.989125,0.000050,-80.652000
0.043008,4.989125,0.000040,-81.874000
0.043520,4.989125,0.000055,-81.874000
0.044032,4.989125,0.000030,-86.762000
0.044544,4.989125,-0.000010,-78.208000
0.045056,4.989125,-0.000010,-86.762000
0.045568,4.989125,0.000005,-87.984000
0.046080,4.989125,-0.000005,-80.652000
0.046592,4.989125,-0.000025,-80.652000
0.047104,4.989125,-0.000015,-81.874000
0.047616,4.989125,0.000035,-87.984000
0.048128,4.989125,0.000015,-81.874000
0.048640,4.989125,0.000010,-78.208000
0.049152,4.989125,0.000030,-84.318000
0.049664,4.989125,0.000025,-86.762000
0.050176,4.989125,0.000015,-81.874000
0.050688,4.989125,0.000020,-86.762000
0.051200,4.989125,0.000065,-90.428000
0.051712,4.989125,0.000105,-92.872000
0.052224,4.989125,0.000120,-94.094000
0.052736,4.989125,0.000110,-80.652000
0.053248,4.989125,0.000120,-81.874000
0.053760,4.989125,0.000145,-92.872000
0.054272,4.989125,0.000170,-87.984000
0.054784,4.989125,0.000190,-87.984000
0.055296,4.989125,0.000235,-98.982000
0.055808,4.989125,0.000305,-106.314000
0.056320,4.989125,0.000315,-94.094000
0.056832,4.989125,0.000290,-86.762000
0.057344,4.989125,0.000315,-106.314000
0.057856,4.989125,0.000340,-92.872000
0.058368,4.989125,0.000355,-96.538000
0.058880,4.989125,0.000370,-106.314000
0.059392,4.989125,0.000390,-96.538000
0.059904,4.989125,0.000410,-111.202000
0.060416,4.989125,0.000390,-100.204000
0.060928,4.989125,0.000385,-106.314000
0.061440,4.989125,0.000410,-94.094000
0.061952,4.989125,0.000425,-102.648000
0.062464,4.989125,0.000415,-94.094000
0.062976,4.989125,0.000425,-108.758000
0.063488,4.989125,0.000440,-106.314000
0.064000,4.989125,0.000450,-105.092000
0.064512,4.989125,0.000445,-102.648000
0.065024,4.989125,0.000435,-94.094000
0.065536,4.989125,0.000430,-105.092000
0.066048,4.989125,0.000445,-105.092000
0.066560,4.989125,0.000425,-87.984000
0.067072,4.989125,0.000425,-92.872000
0.067584,4.989125,0.000430,-105.092000
0.068096,4.989125,0.000420,-106.314000
0.068608,4.989125,0.000365,-105.092000
